feature,mean_abs_coef,mean_coef,std_coef,cv_coef
tag_611,0.02960540420099047,0.005900167685377902,0.03845798226725432,1.2990185513421284
tag_1020,0.02956988308406328,0.006015274485042116,0.03848392981347995,1.301456508620956
tag_951,0.02953642524018313,-0.010478291336223904,0.03830587842072615,1.2969025581195575
tag_967,0.029354566764195917,-0.001855905912473486,0.038496278199039786,1.3114233772906614
tag_758,0.029349875862197963,-0.0009001490199475611,0.03828492497415135,1.3044318180283463
tag_956,0.029335530281144287,-0.011719799214598122,0.03877122842148565,1.3216469868941274
tag_733,0.02929857210204562,0.006082495317973315,0.038003559038245156,1.297112566945407
tag_978,0.02923939945472114,-0.0194179100261051,0.03217887731548092,1.1005310269795876
tag_877,0.029205031994748956,-0.0007919807864712165,0.038676198536012986,1.3242986790762683
tag_447,0.029177538211589586,0.0032279740762186813,0.03844617264390076,1.3176628949456963
tag_879,0.029155893020583867,-0.00044529794014722856,0.04014436790129688,1.3768864532494578
tag_111,0.029115041817278444,-0.0030870863488469766,0.039115521263528075,1.3434810801303403
tag_686,0.029085270817586963,0.0031476025612255593,0.03802651007209556,1.3074142316378157
tag_850,0.02898192472815158,0.0009871154172645985,0.03818223029029041,1.3174493231192783
tag_756,0.028943837313124787,-0.00015728616956908493,0.03774388986049566,1.3040384525308226
tag_1114,0.028924680477054168,0.01799272444005441,0.032307161910312986,1.1169406267611444
tag_717,0.028889466380909622,0.00797173696340709,0.037402629174554836,1.2946800655504702
tag_684,0.02887549373949723,0.0022689339576857357,0.03799833096135606,1.315936556610793
tag_584,0.028821877664444214,-0.003254135554682805,0.038463727953345093,1.3345318808106876
tag_285,0.028794910759820665,-4.5788105665291014e-05,0.037628103955144834,1.3067618511265242
tag_529,0.028767651157034828,0.0015189298240537948,0.03740636074463318,1.300292037661388
tag_897,0.028765709813092427,0.01510047986695204,0.03373991375840746,1.1729208925636228
tag_446,0.02875254970763521,0.022262986142522402,0.02787356770331787,0.9694290868967772
tag_298,0.02873881480880025,0.001226639969391121,0.038801134366097195,1.35012947203797
tag_540,0.02869850047134341,0.00610671961029419,0.03800772920408014,1.3243798573459882
tag_528,0.028638357687490568,0.008601771493950298,0.03629963488898306,1.2675175933591698
tag_1000,0.028526291540791084,0.006754728230660535,0.036845719890558175,1.291640272324499
